iter	Passed	Remaining
0	0	68
1	1	61
2	1	56
3	2	51
4	2	50
5	3	49
6	3	49
7	4	48
8	4	48
9	5	48
10	5	47
11	6	46
12	6	45
13	7	45
14	7	44
15	8	43
16	8	43
17	9	42
18	9	42
19	10	41
20	10	41
21	11	40
22	12	40
23	12	39
24	13	39
25	13	38
26	14	38
27	14	37
28	15	37
29	15	36
30	16	36
31	16	35
32	17	35
33	17	34
34	18	33
35	18	33
36	19	32
37	19	32
38	20	32
39	21	31
40	21	31
41	21	30
42	22	29
43	22	29
44	23	28
45	23	28
46	24	27
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	28	25
53	29	25
54	30	24
55	30	24
56	31	23
57	31	23
58	32	22
59	32	21
60	33	21
61	34	20
62	34	20
63	35	19
64	36	19
65	36	19
66	37	18
67	38	18
68	38	17
69	39	16
70	40	16
71	40	15
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	44	11
79	45	11
80	45	10
81	46	10
82	46	9
83	47	9
84	48	8
85	48	7
86	49	7
87	49	6
88	50	6
89	51	5
90	51	5
91	52	4
92	52	3
93	53	3
94	53	2
95	54	2
96	54	1
97	55	1
98	56	0
99	56	0
