iter	Passed	Remaining
0	152	152119
1	152	76292
2	153	50981
3	153	38324
4	154	30758
5	155	25778
6	156	22166
7	156	19442
8	157	17325
9	157	15633
10	158	14245
11	158	13085
12	159	12104
13	159	11268
14	160	10540
15	161	9902
16	161	9340
17	162	8841
18	162	8393
19	163	7991
20	163	7627
21	164	7300
22	164	6999
23	165	6725
24	166	6491
25	167	6260
26	167	6041
27	168	5843
28	168	5657
29	169	5481
30	170	5316
31	170	5160
32	171	5015
33	171	4878
34	172	4747
35	172	4625
36	173	4509
37	173	4400
38	174	4295
39	174	4196
40	175	4102
41	175	4013
42	176	3928
43	177	3847
44	177	3776
45	178	3703
46	179	3633
47	179	3565
48	180	3501
49	181	3446
50	182	3389
51	182	3329
52	183	3273
53	183	3218
54	184	3165
55	184	3114
56	185	3066
57	185	3017
58	186	2972
59	186	2928
60	187	2885
61	187	2842
62	188	2803
63	189	2771
64	190	2736
65	190	2701
66	191	2666
67	192	2631
68	192	2598
69	193	2565
70	193	2533
71	194	2504
72	194	2474
73	195	2445
74	196	2418
75	196	2390
76	197	2367
77	198	2342
78	199	2323
79	199	2299
80	200	2275
81	201	2260
82	202	2236
83	203	2214
84	203	2192
85	204	2170
86	204	2151
87	205	2129
88	206	2108
89	206	2088
90	207	2067
91	207	2048
92	208	2029
93	208	2011
94	209	1994
95	210	1977
96	210	1960
97	211	1943
98	211	1926
99	212	1911
100	213	1903
101	214	1889
102	215	1873
103	215	1858
104	216	1843
105	216	1828
106	217	1813
107	217	1799
108	218	1784
109	218	1770
110	219	1756
111	219	1742
112	220	1729
113	220	1716
114	221	1704
115	222	1693
116	222	1680
117	223	1668
118	223	1656
119	224	1645
120	225	1636
121	225	1626
122	226	1615
123	227	1604
124	227	1593
125	228	1582
126	228	1571
127	229	1560
128	229	1550
129	230	1540
130	230	1530
131	231	1520
132	231	1510
133	232	1501
134	232	1491
135	233	1482
136	233	1472
137	234	1463
138	234	1454
139	235	1446
140	235	1437
141	236	1427
142	237	1425
143	238	1417
144	238	1408
145	239	1400
146	239	1392
147	240	1384
148	240	1375
149	241	1367
150	241	1359
151	242	1352
152	242	1344
153	243	1336
154	243	1329
155	244	1321
156	244	1314
157	245	1307
158	245	1299
159	246	1292
160	246	1284
161	246	1277
162	247	1270
163	247	1264
164	248	1257
165	249	1255
166	250	1249
167	251	1243
168	251	1236
169	251	1230
170	252	1224
171	252	1217
172	253	1211
173	254	1205
174	254	1200
175	255	1194
176	255	1188
177	256	1182
178	256	1176
179	257	1170
180	257	1165
181	258	1159
182	258	1154
183	258	1148
184	259	1143
185	259	1137
186	260	1132
187	261	1131
188	262	1126
189	263	1121
190	263	1116
191	264	1111
192	264	1106
193	265	1101
194	265	1096
195	266	1091
196	266	1087
197	267	1082
198	267	1077
199	268	1072
200	268	1067
201	269	1062
202	269	1058
203	270	1053
204	270	1049
205	271	1044
206	271	1040
207	272	1035
208	272	1031
209	274	1030
210	274	1027
211	275	1023
212	275	1019
213	276	1015
214	277	1011
215	277	1007
216	278	1003
217	278	999
218	279	995
219	279	991
220	280	987
221	280	983
222	281	979
223	281	975
224	282	971
225	282	967
226	283	963
227	283	960
228	284	956
229	284	952
230	285	951
231	286	948
232	287	945
233	287	941
234	288	938
235	288	934
236	289	931
237	289	927
238	290	924
239	290	920
240	291	917
241	291	913
242	292	910
243	292	907
244	293	904
245	294	901
246	294	898
247	295	895
248	296	893
249	297	891
250	297	889
251	298	886
252	299	882
253	299	880
254	300	877
255	300	874
256	301	871
257	301	868
258	302	865
259	302	862
260	303	859
261	303	856
262	304	853
263	304	850
264	305	847
265	306	844
266	306	841
267	307	838
268	307	836
269	308	833
270	308	831
271	309	829
272	310	827
273	311	825
274	312	823
275	312	820
276	313	818
277	314	815
278	314	812
279	315	810
280	315	808
281	316	805
282	316	803
283	317	800
284	317	797
285	318	795
286	319	792
287	319	789
288	320	787
289	322	790
290	323	788
291	324	785
292	324	783
293	325	781
294	326	779
295	326	776
296	327	774
297	327	771
298	328	769
299	328	767
300	329	765
301	330	763
302	330	761
303	331	758
304	331	756
305	332	753
306	333	753
307	334	751
308	334	748
309	335	746
310	336	745
311	336	742
312	337	740
313	337	737
314	338	735
315	338	733
316	339	730
317	339	728
318	340	725
319	340	723
320	341	721
321	341	719
322	342	716
323	342	714
324	343	712
325	343	710
326	344	708
327	344	705
328	346	706
329	347	705
330	348	704
331	349	702
